data,exam_period,screen_time
2022-05-26,False,176.0
2022-05-27,False,178.0
2022-05-28,False,179.0
2022-05-29,False,170.0
2022-05-30,False,187.0
2022-05-31,False,174.0
2022-06-01,False,193.0
2022-06-02,False,172.0
2022-06-03,False,181.0
2022-06-04,False,181.0
2022-06-05,False,173.0
2022-06-06,False,158.0
2022-06-07,False,175.0
2022-06-08,False,174.0
2022-06-09,False,185.0
2022-06-10,False,170.0
2022-06-11,False,161.0
2022-06-12,False,181.0
2022-06-13,False,178.0
2022-06-14,False,171.0
2022-06-15,True,109.0
2022-06-16,True,64.0
2022-06-17,True,66.0
2022-06-18,True,113.0
2022-06-19,True,111.0
2022-06-20,True,85.0
2022-06-21,True,112.0
2022-06-22,True,109.0
2022-06-23,True,
2022-06-24,True,
2022-06-25,True,
2022-06-26,True,101.0
2022-06-27,True,106.0
2022-06-28,True,112.0
2022-06-29,True,104.0
2022-06-30,True,107.0
2022-07-01,True,113.0
2022-07-02,True,111.0
2022-07-03,True,108.0
2022-07-04,True,100.0
2022-07-05,True,101.0
2022-07-06,True,148.0
2022-07-07,True,101.0
2022-07-08,True,110.0
2022-07-09,True,112.0
2022-07-10,True,115.0
2022-07-11,True,110.0
2022-07-12,True,123.0
2022-07-13,True,102.0
2022-07-14,True,112.0
2022-07-15,True,103.0
2022-07-16,True,120.0
2022-07-17,True,112.0
2022-07-18,True,112.0
2022-07-19,True,113.0
2022-07-20,True,102.0
2022-07-21,True,115.0
2022-07-22,True,104.0
2022-07-23,True,111.0
2022-07-24,True,106.0
2022-07-25,True,111.0
2022-07-26,True,107.0
2022-07-27,True,104.0
2022-07-28,True,118.0
2022-07-29,True,114.0
2022-07-30,True,100.0
2022-07-31,True,107.0
2022-08-01,True,87.0
2022-08-02,True,105.0
2022-08-03,True,115.0
2022-08-04,True,107.0
2022-08-05,True,81.0
2022-08-06,True,115.0
2022-08-07,True,104.0
2022-08-08,True,152.0
2022-08-09,True,112.0
2022-08-10,True,104.0
2022-08-11,True,110.0
2022-08-12,True,103.0
2022-08-13,True,107.0
